transaction_id,user_id,vehicle_id,location_id,product_id,price,quantity,total_cost,transaction_date
82,1,1,1,1,100.58,0.99,100,2021-12-28
83,1,1,1,1,100.58,1.99,200,2022-01-02
84,1,1,1,1,100.58,1.99,200,2022-01-17
85,1,1,1,1,100.58,1.99,200,2022-01-30
86,1,1,1,1,100.58,1.99,200,2022-02-07
87,1,1,1,1,100.58,1.99,200,2022-02-16
88,1,1,1,1,100.58,2.98,300,2022-02-23
89,1,1,5,4,450.0,1.0,450,2022-02-23
90,1,1,1,1,100.58,1.99,200,2022-03-02
91,1,1,1,1,100.58,2.98,300,2022-03-07
92,1,1,1,1,100.58,0.99,100,2022-03-11
93,1,1,1,1,100.58,0.99,100,2022-03-19
94,1,1,1,1,100.58,0.99,100,2022-03-26
95,1,1,1,1,100.58,1.99,200,2022-03-31
96,1,1,1,1,107.3,1.86,200,2022-04-13
97,1,1,1,1,107.3,1.86,200,2022-04-18
98,1,1,1,1,107.3,0.93,100,2022-04-23
99,1,1,1,1,107.3,1.86,200,2022-04-25
100,1,1,1,1,111.09,1.8,200,2022-05-05
101,1,1,1,1,111.09,2.7,300,2022-05-11
102,1,1,1,1,111.09,2.7,300,2022-05-16
103,1,1,1,1,111.09,1.8,200,2022-05-22
104,1,1,1,1,111.09,1.8,200,2022-05-24
105,1,1,1,1,111.09,1.8,200,2022-05-30
106,1,1,1,1,87.89,2.28,200,2022-06-18
107,1,1,1,1,87.89,2.28,200,2022-06-25
108,1,1,1,1,101.94,0.98,100,2022-07-05
109,1,1,1,1,101.94,1.96,200,2022-07-08
110,1,1,1,1,101.94,0.98,100,2022-07-11
111,1,1,4,3,100.0,1.0,100,2022-07-13
112,1,1,1,1,101.94,1.96,200,2022-07-19
113,1,1,1,1,101.94,1.96,200,2022-07-23
114,1,1,1,1,101.94,1.96,200,2022-07-28
115,1,1,1,1,101.94,0.98,100,2022-07-29
116,1,1,1,1,101.94,1.96,200,2022-08-08
117,1,1,1,1,101.94,1.96,200,2022-08-14
118,1,1,7,5,780.0,1.0,780,2022-08-22
119,1,1,1,1,101.94,1.96,200,2022-08-23
120,1,1,1,1,101.94,1.96,200,2022-09-02
121,1,1,1,1,101.94,0.98,100,2022-09-12
122,1,1,1,1,101.94,0.98,100,2022-09-16
123,1,1,4,4,1000.0,1.0,1000,2022-09-16
124,1,1,1,1,101.94,0.98,100,2022-09-19
125,1,1,1,1,101.94,1.96,200,2022-09-22
126,1,1,1,1,101.94,0.98,100,2022-09-30
127,1,1,1,1,101.94,1.96,200,2022-10-05
128,1,1,1,1,101.94,1.96,200,2022-10-11
129,1,1,1,1,101.94,1.96,200,2022-10-15
130,1,1,1,1,101.94,1.96,200,2022-10-16
131,1,1,1,1,101.94,1.96,200,2022-10-21
132,1,1,1,1,101.94,0.98,100,2022-10-25
133,1,1,1,1,101.94,1.96,200,2022-10-27
134,1,1,1,1,101.94,1.96,200,2022-11-04
135,1,1,1,1,101.94,1.96,200,2022-11-10
136,1,1,1,1,101.94,1.96,200,2022-11-16
137,1,1,1,1,101.94,0.98,100,2022-11-19
138,1,1,1,1,101.94,1.96,200,2022-11-22
139,1,1,1,6,200.0,1.0,200,2022-11-22
140,1,1,1,1,101.94,1.96,200,2022-11-29
141,1,1,1,1,101.94,1.96,200,2022-12-03
142,1,1,1,1,101.94,0.98,100,2022-12-06
143,1,1,1,1,101.94,1.96,200,2022-12-09
144,1,1,1,1,101.94,1.96,200,2022-12-18
145,1,1,1,1,101.94,1.96,200,2022-12-22
146,1,1,1,1,101.94,0.98,100,2022-12-29
147,1,1,1,1,101.94,0.98,100,2022-12-31
148,1,1,1,1,101.94,2.94,300,2023-01-04
149,1,1,4,7,120.0,1.0,120,2023-01-07
150,1,1,1,1,101.94,2.94,300,2023-01-14
151,1,1,1,1,101.94,2.94,300,2023-01-30
152,1,1,1,1,101.94,2.94,300,2023-02-10
153,1,1,1,1,101.94,2.94,300,2023-02-19
154,1,1,1,1,101.94,2.94,300,2023-03-02
155,1,1,1,1,101.94,2.94,300,2023-03-16
156,1,1,1,1,101.94,2.94,300,2023-03-22
157,1,1,1,1,101.94,2.94,300,2023-03-31
158,1,1,1,1,101.94,2.94,300,2023-04-15
159,1,1,1,1,101.94,2.94,300,2023-04-29
160,1,1,1,1,101.94,2.94,300,2023-05-07
161,1,1,1,1,101.94,1.96,200,2023-05-27
162,1,1,1,1,101.94,2.94,300,2023-06-04
163,1,1,1,1,101.94,2.94,300,2023-06-18
164,1,1,4,4,900.0,1.0,900,2023-06-29
165,1,1,1,1,101.94,2.94,300,2023-07-05
166,1,1,1,1,101.94,2.94,300,2023-07-15
167,1,1,1,1,101.94,2.94,300,2023-08-05
168,1,1,4,8,350.0,1.0,350,2023-08-05
169,1,1,4,9,150.0,1.0,150,2023-08-05
170,1,1,4,7,100.0,1.0,100,2023-08-05
171,1,1,7,5,1013.0,1.0,1013,2023-08-19
172,1,1,1,1,101.94,2.94,300,2023-08-20
173,1,1,1,1,101.94,2.94,300,2023-09-02
174,1,1,1,1,101.94,2.94,300,2023-09-10
175,1,1,1,1,101.94,2.94,300,2023-09-17
176,1,1,1,1,101.94,2.94,300,2023-09-30
177,1,1,1,1,101.94,2.94,300,2023-10-15
178,1,1,4,7,150.0,1.0,150,2023-10-23
179,1,1,1,1,101.94,2.94,300,2023-10-24
180,1,1,4,3,100.0,1.0,100,2023-10-25
181,1,1,1,1,101.94,2.94,300,2023-11-10
182,1,1,1,1,101.94,2.94,300,2023-11-19
183,1,1,1,1,101.94,2.94,300,2023-11-26
184,1,1,1,1,101.94,2.94,300,2023-12-13
185,1,1,1,1,101.94,2.94,300,2023-12-17
186,1,1,1,1,101.94,2.94,300,2024-01-09
187,1,1,1,1,101.94,2.94,300,2024-01-14
188,1,1,1,1,101.94,2.94,300,2024-01-26
189,1,1,1,1,101.94,2.94,300,2024-02-04
190,1,1,1,1,101.94,2.94,300,2024-02-18
191,1,1,1,1,101.94,2.94,300,2024-02-24
192,1,1,4,7,150.0,1.0,150,2024-02-24
193,1,1,1,1,101.94,2.94,300,2024-03-08
194,1,1,1,1,99.93,3.002,300,2024-03-16
195,1,1,4,10,4350.0,1.0,4350,2024-03-23
196,1,1,1,1,99.93,3.002,300,2024-03-30
197,1,1,1,1,99.93,3.002,300,2024-04-06
198,1,1,1,1,99.93,3.002,300,2024-04-21
199,1,1,1,1,99.93,3.002,300,2024-05-08
200,1,1,1,1,99.93,3.002,300,2024-05-20
201,1,1,4,4,1000.0,1.0,1000,2024-06-02
202,1,1,1,1,99.93,3.002,300,2024-06-03
203,1,1,1,1,102.93,2.91,300,2024-06-23
204,1,1,1,1,102.93,2.91,300,2024-06-29
205,1,1,1,1,102.93,2.91,300,2024-07-12
206,1,1,1,1,102.93,2.91,300,2024-08-01
207,1,1,1,1,102.93,2.91,300,2024-08-12
208,1,1,7,5,601.0,1.0,601,2024-08-18
209,1,1,1,1,102.93,2.91,300,2024-08-21
210,1,1,1,1,102.93,2.91,300,2024-09-06
211,1,1,1,1,102.93,2.91,300,2024-09-19
212,1,1,1,1,102.93,2.91,300,2024-10-02
213,1,1,4,7,150.0,1.0,150,2024-10-10
214,1,1,1,1,102.93,2.91,300,2024-10-11
215,1,1,1,1,102.93,2.91,300,2024-11-01
216,1,1,1,1,102.93,2.91,300,2024-11-10
217,1,1,1,1,102.93,2.91,300,2024-11-16
218,1,1,1,1,102.93,2.91,300,2024-11-23
219,1,1,4,11,1400.0,1.0,1400,2024-11-27
220,1,1,1,1,102.93,2.91,300,2024-12-06
221,1,1,3,2,1800.0,1.0,1800,2024-12-12
222,1,1,4,12,80.0,1.0,80,2024-12-12
223,1,1,1,1,102.93,2.91,300,2024-12-18
224,1,1,4,13,1400.0,1.0,1400,2025-01-01
225,1,1,1,1,102.93,2.91,300,2025-01-08
226,1,1,1,1,102.93,2.91,300,2025-01-18
227,1,1,1,1,102.93,2.91,300,2025-02-02
228,1,1,1,1,102.93,2.91,300,2025-02-17
229,1,1,1,1,102.93,2.91,300,2025-02-28
230,1,1,1,1,102.93,2.91,300,2025-03-08
231,1,1,1,1,102.93,2.91,300,2025-03-19
232,1,1,1,1,102.93,2.91,300,2025-03-29
233,1,1,1,1,102.93,2.91,300,2025-04-09
234,1,1,4,14,150.0,1.0,150,2025-04-22
235,1,1,1,1,102.93,2.91,300,2025-04-24
236,1,1,4,4,1000.0,1.0,1000,2025-04-28
237,1,1,4,15,700.0,1.0,700,2025-04-28
238,1,1,1,1,102.93,2.91,300,2025-05-01
239,1,1,4,15,100.0,1.0,100,2025-05-05
240,1,1,1,1,102.93,2.91,300,2025-05-07
241,1,1,1,1,102.93,3.92,403,2025-05-09
242,1,1,1,1,102.93,1.87,192,2025-05-11
243,1,1,1,1,102.93,5.58,574,2025-05-19
244,1,1,1,1,102.93,5.47,563,2025-05-25
245,1,1,1,1,102.93,5.25,540,2025-06-01
246,1,1,1,1,102.93,5.01,525,2025-06-06
247,1,1,1,1,102.93,4.47,460,2025-06-13
248,1,1,1,1,102.93,5.47,563,2025-06-21
249,1,1,1,1,102.93,0.97,100,2025-06-27
250,1,1,1,1,102.93,5.23,533,2025-06-29
251,1,1,1,1,102.93,5.24,539,2025-07-06
252,1,1,1,1,102.93,4.89,503,2025-07-12
253,1,1,1,1,102.93,5.57,573,2025-07-20
254,1,1,1,1,102.93,0.98,101,2025-07-26
255,1,1,1,1,102.93,4.76,490,2025-07-27
256,1,1,1,1,102.93,5.58,574,2025-08-03
257,1,1,4,4,1000.0,1.0,1000,2025-08-03
258,1,1,4,16,500.0,1.0,500,2025-08-03
259,1,1,1,1,102.93,2.91,300,2025-08-11
260,1,1,1,1,102.93,2.91,300,2025-08-28
261,1,1,1,1,102.93,2.91,300,2025-09-01
262,1,1,1,1,102.93,2.91,300,2025-09-05
263,1,1,1,1,102.93,2.91,300,2025-09-10
264,1,1,1,1,102.93,2.91,300,2025-09-15
265,1,1,1,1,102.93,2.91,300,2025-09-19
266,1,1,1,1,102.93,2.91,300,2025-09-23
267,1,1,1,1,102.93,2.91,300,2025-09-28
268,1,1,1,1,102.93,2.91,300,2025-10-01
269,1,1,4,7,150.0,1.0,150,2025-10-01
270,1,1,1,1,102.93,2.91,300,2025-10-07
271,1,1,1,1,102.93,2.91,300,2025-10-12
272,1,1,1,1,102.93,2.91,300,2025-10-15
273,1,1,1,1,102.93,2.91,300,2025-10-21
274,1,1,1,1,102.93,2.91,300,2025-10-29
275,1,1,1,1,102.93,2.91,300,2025-11-01
276,1,1,1,1,102.93,1.94,200,2025-11-08
277,1,1,1,1,102.93,1.94,200,2025-11-15
278,1,1,1,1,102.93,1.94,200,2025-11-20
279,1,1,4,14,150.0,1.0,150,2025-11-27
280,1,1,1,1,102.93,1.94,200,2025-12-03
281,1,1,1,1,102.93,2.91,300,2025-12-07
282,1,1,1,1,102.93,1.94,200,2025-12-19
283,1,1,1,1,102.93,0.94,100,2025-12-24
284,1,1,1,1,102.93,0.94,100,2025-12-28
